央视频道,#genre#
CCTV17,http://182.149.150.3:4022/rtp/239.94.0.17:5140
CETV1,http://182.149.150.3:4022/rtp/239.94.1.2:5140
CETV4,http://182.149.150.3:4022/rtp/239.94.1.20:5140
CGTN,http://182.149.150.3:4022/rtp/239.94.0.22:5140
CGTN,http://182.149.150.3:4022/rtp/239.94.0.40:5140
CGTN西语,http://182.149.150.3:4022/rtp/239.94.1.61:5140
CGTN西语,http://182.149.150.3:4022/rtp/239.94.1.65:5140
CGTN法语,http://182.149.150.3:4022/rtp/239.94.1.62:5140
CGTN法语,http://182.149.150.3:4022/rtp/239.94.1.66:5140
CCTV1SD,http://182.149.150.3:4022/rtp/239.94.2.146:5140
CCTV2SD,http://182.149.150.3:4022/rtp/239.94.2.147:5140
CCTV3SD,http://182.149.150.3:4022/rtp/239.94.2.148:5140
CCTV4SD,http://182.149.150.3:4022/rtp/239.94.2.149:5140
CCTV5SD,http://182.149.150.3:4022/rtp/239.94.2.150:5140
CCTV5+SD,http://182.149.150.3:4022/rtp/239.94.2.162:5140
CCTV6SD,http://182.149.150.3:4022/rtp/239.94.2.151:5140
CCTV7SD,http://182.149.150.3:4022/rtp/239.94.2.152:5140
CCTV8SD,http://182.149.150.3:4022/rtp/239.94.2.153:5140
CCTV9SD,http://182.149.150.3:4022/rtp/239.94.2.154:5140
CCTV10SD,http://182.149.150.3:4022/rtp/239.94.2.155:5140
CCTV11SD,http://182.149.150.3:4022/rtp/239.94.2.156:5140
CCTV12SD,http://182.149.150.3:4022/rtp/239.94.2.157:5140
CCTV13SD,http://182.149.150.3:4022/rtp/239.94.2.158:5140
CCTV14SD,http://182.149.150.3:4022/rtp/239.94.2.159:5140
CCTV15SD,http://182.149.150.3:4022/rtp/239.94.2.160:5140
CCTV17SD,http://182.149.150.3:4022/rtp/239.94.2.161:5140
CCTV4KSD,http://182.149.150.3:4022/rtp/239.94.2.163:5140
CETV1SD,http://182.149.150.3:4022/rtp/239.94.2.224:5140
CETV2SD,http://182.149.150.3:4022/rtp/239.94.1.19:5140
CETV2SD,http://182.149.150.3:4022/rtp/239.94.2.228:5140
CETV4SD,http://182.149.150.3:4022/rtp/239.94.2.229:5140
CGTNSD,http://182.149.150.3:4022/rtp/239.94.2.164:5140
CGTN西语SD,http://182.149.150.3:4022/rtp/239.94.2.237:5140
CGTN法语SD,http://182.149.150.3:4022/rtp/239.94.2.238:5140
CCTV1-综合,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
CGTN,http://58.57.40.22:9901/tsfile/live/1064_1.m3u8
CCTV17,http://58.57.40.22:9901/tsfile/live/0019_1.m3u8
CCTV-1综合,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2财经,http://111.14.181.15:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3综艺,http://111.14.181.15:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4国际,http://111.14.181.15:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5体育,http://111.14.181.15:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+体育赛事,http://111.14.181.15:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6电影,http://111.14.181.15:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7国防军事,http://111.14.181.15:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8电视剧,http://111.14.181.15:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9纪录,http://111.14.181.15:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10科教,http://111.14.181.15:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11戏曲,http://111.14.181.15:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12社会与法,http://111.14.181.15:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13新闻,http://111.14.181.15:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14少儿,http://111.14.181.15:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15音乐,http://111.14.181.15:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://218.56.123.244:85/tsfile/live/0001_1.m3u8
CCTV-2,http://218.56.123.244:85/tsfile/live/0002_1.m3u8
CCTV-3,http://218.56.123.244:85/tsfile/live/0003_1.m3u8
CCTV-4,http://218.56.123.244:85/tsfile/live/0004_1.m3u8
CCTV-5,http://218.56.123.244:85/tsfile/live/0005_1.m3u8
CCTV-6,http://218.56.123.244:85/tsfile/live/0006_1.m3u8
CCTV-7,http://218.56.123.244:85/tsfile/live/0007_1.m3u8
CCTV-8,http://218.56.123.244:85/tsfile/live/0008_1.m3u8
CCTV-9,http://218.56.123.244:85/tsfile/live/0009_1.m3u8
CCTV-10,http://218.56.123.244:85/tsfile/live/0010_1.m3u8
CCTV-11,http://218.56.123.244:85/tsfile/live/0011_1.m3u8
CCTV-12,http://218.56.123.244:85/tsfile/live/0012_1.m3u8
CCTV-13,http://218.56.123.244:85/tsfile/live/0013_1.m3u8
CCTV-14,http://218.56.123.244:85/tsfile/live/0014_1.m3u8
CCTV-15,http://218.56.123.244:85/tsfile/live/0015_1.m3u8
CCTV-5+,http://218.56.123.244:85/tsfile/live/0016_1.m3u8
CGTN,http://218.56.123.244:85/tsfile/live/1001_1.m3u8

卫视频道,#genre#
天津卫视,http://60.26.18.23:85/tsfile/live/5/1000.m3u8?key=txiptv
湖南卫视,http://60.26.18.23:85/tsfile/live/105/1025.m3u8?key=txiptv
东方卫视,http://60.26.18.23:85/tsfile/live/109/1026.m3u8?key=txiptv
浙江卫视,http://60.26.18.23:85/tsfile/live/113/1027.m3u8?key=txiptv
江苏卫视,http://60.26.18.23:85/tsfile/live/117/1028.m3u8?key=txiptv
北京卫视,http://60.26.18.23:85/tsfile/live/121/1029.m3u8?key=txiptv
湖北卫视,http://60.26.18.23:85/tsfile/live/125/1030.m3u8?key=txiptv
辽宁卫视,http://60.26.18.23:85/tsfile/live/129/1031.m3u8?key=txiptv
吉林卫视,http://60.26.18.23:85/tsfile/live/133/1032.m3u8?key=txiptv
广东卫视,http://60.26.18.23:85/tsfile/live/137/1033.m3u8?key=txiptv
深圳卫视,http://60.26.18.23:85/tsfile/live/141/1034.m3u8?key=txiptv
河南卫视,http://60.26.18.23:85/tsfile/live/145/1035.m3u8?key=txiptv
河北卫视,http://60.26.18.23:85/tsfile/live/149/1036.m3u8?key=txiptv
云南卫视,http://60.26.18.23:85/tsfile/live/153/1037.m3u8?key=txiptv
贵州卫视,http://60.26.18.23:85/tsfile/live/157/1038.m3u8?key=txiptv
